scientific_name,park_name,observations
Osmorhiza berteroi,Bryce National Park,108
Polygonum coccineum,Bryce National Park,80
Poa autumnalis,Great Smoky Mountains National Park,62
Townsendia hookeri,Yellowstone National Park,267
Ranunculus parviflorus,Great Smoky Mountains National Park,55
Commelina erecta,Yosemite National Park,131
Cyrto-hypnum minutulum,Bryce National Park,115
Stellaria graminea,Yellowstone National Park,270
Phlox diffusa,Yosemite National Park,170
Paeonia brownii,Yellowstone National Park,263
Brothera leana,Yellowstone National Park,277
Thomomys talpoides,Yosemite National Park,159
Draperia systyla,Great Smoky Mountains National Park,77
Lespedeza repens,Bryce National Park,110
Lipocarpha occidentalis,Bryce National Park,80
Ovis aries,Bryce National Park,119
Dryopteris intermedia,Yellowstone National Park,254
Corallorrhiza trifida,Yellowstone National Park,241
Aronia X prunifolia,Great Smoky Mountains National Park,86
Bucephala islandica,Bryce National Park,111
Phytolacca americana,Bryce National Park,101
Pleopeltis polypodioides,Yellowstone National Park,265
Phryma leptostachya,Great Smoky Mountains National Park,83
Pogonatum brachyphyllum,Yosemite National Park,158
Selaginella hansenii,Yellowstone National Park,251
Calystegia spithamaea,Yosemite National Park,152
Seligeria recurvata,Yellowstone National Park,228
Cyperus bipartitus,Yellowstone National Park,245
Botrychium lanceolatum,Bryce National Park,132
Eragrostis frankii,Yellowstone National Park,265
Phlox condensata,Great Smoky Mountains National Park,81
Dendroica striata,Yellowstone National Park,241
Laportea canadensis,Yosemite National Park,173
Clinopodium vulgare,Great Smoky Mountains National Park,87
Cirsium arvense,Yellowstone National Park,241
Vicia americana var. minor,Great Smoky Mountains National Park,61
Rorippa palustris ssp. fernaldiana,Great Smoky Mountains National Park,64
Leucothoe recurva,Bryce National Park,123
Urocitellus beldingi,Yellowstone National Park,244
Picoides albolarvatus,Great Smoky Mountains National Park,87
Sisyrinchium elmeri,Yellowstone National Park,244
Holcus lanatus,Great Smoky Mountains National Park,77
Viola sororia var. affinis,Yosemite National Park,159
Geranium thunbergii,Great Smoky Mountains National Park,70
Cervus elaphus,Yosemite National Park,203
Parnassia fimbriata,Bryce National Park,105
Silene stellata,Yosemite National Park,135
Lanius ludovicianus,Great Smoky Mountains National Park,68
Triosteum aurantiacum,Yellowstone National Park,243
Sciurus carolinensis,Great Smoky Mountains National Park,77
Prunus munsoniana,Bryce National Park,104
Butorides virescens,Yellowstone National Park,245
Astragalus purshii var. lectulus,Yosemite National Park,149
Tribulus terrestris,Yosemite National Park,156
Carex leporinella,Great Smoky Mountains National Park,71
Lepechinia calycina,Yellowstone National Park,257
Galium porrigens var. tenue,Yellowstone National Park,213
Sphagnum pylaesii,Yellowstone National Park,266
Aristida dichotoma var. dichotoma,Yellowstone National Park,236
Potentilla grayi,Great Smoky Mountains National Park,59
Camelina microcarpa,Yosemite National Park,150
Tridens flavus var. flavus,Yosemite National Park,115
Symphyotrichum ascendens,Yosemite National Park,155
Fraxinus latifolia,Yellowstone National Park,269
Juncus brevicaudatus,Yosemite National Park,148
Clematis ochroleuca,Yosemite National Park,173
Salix lemmonii,Great Smoky Mountains National Park,68
Lupinus pratensis var. pratensis,Yellowstone National Park,232
Epilobium howellii,Yosemite National Park,126
Oporornis formosus,Bryce National Park,108
Bromus orcuttianus,Yosemite National Park,159
Physalis angulata,Bryce National Park,135
Platanthera flava var. flava,Great Smoky Mountains National Park,85
Lithophragma affine,Bryce National Park,106
Parula americana,Yellowstone National Park,262
Agrostis oregonensis,Yosemite National Park,139
Minuartia obtusiloba,Yosemite National Park,196
Callitriche heterophylla var. bolanderi,Yellowstone National Park,244
Coreopsis auriculata,Bryce National Park,101
Sciurus niger,Bryce National Park,94
Bromus latiglumis,Yosemite National Park,104
Amsinckia menziesii var. menziesii,Bryce National Park,87
Berberis thunbergii,Yellowstone National Park,201
Sabatia campanulata,Great Smoky Mountains National Park,82
Acer glabrum,Great Smoky Mountains National Park,123
Chaetodipus californicus,Yellowstone National Park,232
Juncus nodosus,Great Smoky Mountains National Park,44
Filago gallica,Yosemite National Park,176
Viola orbiculata,Yellowstone National Park,277
Cardinalis cardinalis,Bryce National Park,102
Boykinia aconitifolia,Great Smoky Mountains National Park,77
Pilea pumila,Yellowstone National Park,239
Fraxinus pennsylvanica,Yellowstone National Park,244
Antennaria parlinii ssp. fallax,Great Smoky Mountains National Park,86
Salix alba,Bryce National Park,80
Triphora trianthophora,Bryce National Park,73
Viola odorata,Great Smoky Mountains National Park,73
Cottus carolinae,Great Smoky Mountains National Park,92
Fraxinus pennsylvanica,Yosemite National Park,153
Salix candida,Great Smoky Mountains National Park,57
Microtus longicaudus,Great Smoky Mountains National Park,91
Potentilla pensylvanica,Bryce National Park,105
Typha latifolia,Great Smoky Mountains National Park,54
Epilobium canum ssp. latifolium,Yosemite National Park,162
Thaspium pinnatifidum,Great Smoky Mountains National Park,52
Pyrola picta,Bryce National Park,83
Symphyotrichum oblongifolium,Yellowstone National Park,251
Hackelia micrantha,Bryce National Park,121
Miscanthus sinensis,Great Smoky Mountains National Park,72
Ludwigia grandiflora,Bryce National Park,80
Penstemon procerus var. formosus,Great Smoky Mountains National Park,70
Marah fabaceus,Great Smoky Mountains National Park,75
Oenothera triloba,Yosemite National Park,152
Platanthera sparsiflora,Yosemite National Park,141
Bromus kalmii,Great Smoky Mountains National Park,60
Iris verna var. smalliana,Yellowstone National Park,242
Ambrosia artemisiifolia,Yellowstone National Park,199
Viola canadensis var. corymbosa,Yellowstone National Park,254
Ipomopsis aggregata ssp. formosissima,Great Smoky Mountains National Park,69
Polygonum hydropiperoides,Yellowstone National Park,222
Centaurea maculosa,Yellowstone National Park,267
Carya ovalis,Great Smoky Mountains National Park,83
Lindernia dubia,Yellowstone National Park,244
Carya ovata,Yellowstone National Park,269
Viola purpurea ssp. venosa,Great Smoky Mountains National Park,102
Quercus wislizeni var. wislizeni,Great Smoky Mountains National Park,94
Lepomis macrochirus,Bryce National Park,128
Albizia julibrissin,Bryce National Park,71
Physaria acutifolia var. acutifolia,Bryce National Park,95
Gilia capillaris,Great Smoky Mountains National Park,51
Astragalus australis var. glabriusculus,Yosemite National Park,144
Bromus anomalus,Yosemite National Park,159
Chionanthus virginicus,Great Smoky Mountains National Park,81
Zigadenus exaltatus,Yellowstone National Park,246
Hypnum cupressiforme var. filiforme,Great Smoky Mountains National Park,80
Yucca filamentosa,Bryce National Park,71
Trifolium gracilentum var. gracilentum,Great Smoky Mountains National Park,57
Polemonium californicum,Bryce National Park,95
Mentha spicata,Great Smoky Mountains National Park,95
Justicia americana,Great Smoky Mountains National Park,85
Silene drummondii var. drummondii,Bryce National Park,85
Carya alba,Yellowstone National Park,237
Cinna bolanderi,Great Smoky Mountains National Park,54
Lilium washingtonianum ssp. washingtonianum,Bryce National Park,125
Haemorhous mexicanus,Yosemite National Park,143
Gayophytum diffusum ssp. parviflorum,Bryce National Park,89
Anolis carolinensis carolinensis,Yellowstone National Park,257
Carex cusickii,Bryce National Park,73
Carex lucorum var. lucorum,Yellowstone National Park,226
Vaccinium stamineum,Bryce National Park,89
Madia glomerata,Yellowstone National Park,257
Polygonum cespitosum,Bryce National Park,64
Pteridium aquilinum var. pubescens,Yellowstone National Park,221
Canis lupus,Yosemite National Park,117
Rubus trivialis,Bryce National Park,111
Bucephala clangula,Great Smoky Mountains National Park,53
Tetraphis pellucida,Great Smoky Mountains National Park,62
Ardea alba,Great Smoky Mountains National Park,70
Rhizomnium appalachianum,Great Smoky Mountains National Park,54
Mycteria americana,Bryce National Park,107
Etheostoma percnurum,Bryce National Park,25
Lespedeza intermedia,Yellowstone National Park,226
Plantago elongata,Yosemite National Park,151
Bromus secalinus,Great Smoky Mountains National Park,95
Viola egglestonii,Great Smoky Mountains National Park,70
Sisyrinchium atlanticum,Yellowstone National Park,253
Robinia hispida var. hispida,Bryce National Park,119
Hieracium caespitosum,Yellowstone National Park,239
Parietaria pensylvanica,Great Smoky Mountains National Park,85
Scutellaria galericulata,Yosemite National Park,160
Mirabilis jalapa,Bryce National Park,99
Hemerocallis fulva,Bryce National Park,99
Sorghastrum nutans,Great Smoky Mountains National Park,96
Pastinaca sativa,Great Smoky Mountains National Park,55
Linanthus montanus,Yellowstone National Park,236
Martes americana,Great Smoky Mountains National Park,56
Gentianopsis holopetala,Yosemite National Park,168
Hylotelephium telephium,Yellowstone National Park,213
Stellaria alsine,Yellowstone National Park,231
Trientalis borealis,Yellowstone National Park,275
Cryptotis parva,Bryce National Park,153
Salix barclayi,Bryce National Park,95
Aspidotis densa,Bryce National Park,133
Wilsonia citrina,Bryce National Park,122
Galinsoga parviflora,Bryce National Park,121
Senecio serra var. serra,Great Smoky Mountains National Park,87
Stizostedion canadense,Great Smoky Mountains National Park,96
Carduelis pinus,Great Smoky Mountains National Park,66
Cornus sericea,Yellowstone National Park,238
Hylocomium splendens,Yellowstone National Park,236
Anas clypeata,Yellowstone National Park,269
Terrapene carolina carolina,Yellowstone National Park,254
Phlox amplifolia,Great Smoky Mountains National Park,90
Isoetes engelmannii,Bryce National Park,74
Dodecatheon alpinum,Yosemite National Park,159
Scutellaria serrata,Yosemite National Park,169
Vireo gilvus,Great Smoky Mountains National Park,46
Troglodytes troglodytes,Great Smoky Mountains National Park,114
Dichelostemma volubile,Yellowstone National Park,206
Andreaea rothii,Yosemite National Park,124
Podiceps auritus,Yosemite National Park,166
Sorex palustris,Great Smoky Mountains National Park,66
Bromus kalmii,Yellowstone National Park,250
Limnanthes striata,Yosemite National Park,171
Carex nigromarginata,Yellowstone National Park,255
Physalis longifolia var. subglabrata,Great Smoky Mountains National Park,58
Phoradendron juniperinum,Bryce National Park,87
Corynorhinus townsendii,Bryce National Park,104
Gayophytum racemosum,Yellowstone National Park,259
Potamogeton alpinus,Yellowstone National Park,255
Rhamnus rubra,Yellowstone National Park,248
Lepidium densiflorum var. densiflorum,Bryce National Park,105
Ellisia nyctelea,Great Smoky Mountains National Park,85
Strophostyles helvula,Yosemite National Park,184
Pituophis catenifer sayi,Yellowstone National Park,230
Cichorium intybus,Yellowstone National Park,266
Valeriana occidentalis,Yellowstone National Park,264
Lonicera fragrantissima,Yosemite National Park,129
Toxicodendron rydbergii,Yosemite National Park,173
Ranunculus hebecarpus,Great Smoky Mountains National Park,80
Solidago missouriensis var. missouriensis,Yosemite National Park,122
Pachysandra terminalis,Yellowstone National Park,243
Polygonum hydropiperoides,Yellowstone National Park,266
Erigeron caespitosus,Yellowstone National Park,246
Cannabis sativa,Yosemite National Park,141
Funaria flavicans,Bryce National Park,97
Platanthera hyperborea,Yosemite National Park,156
Salix X pendulina,Bryce National Park,111
Verbesina virginica,Great Smoky Mountains National Park,60
Schistidium apocarpum,Yosemite National Park,131
Lasiurus blossevillii,Yellowstone National Park,221
Muhlenbergia sylvatica,Bryce National Park,90
Sorex tenellus,Yosemite National Park,135
Quercus chrysolepis,Yellowstone National Park,202
Cottus bairdi,Great Smoky Mountains National Park,63
Orthocarpus luteus,Yellowstone National Park,234
Oxytropis campestris var. cusickii,Yellowstone National Park,235
Croton glandulosus var. septentrionalis,Great Smoky Mountains National Park,104
Pluvialis squatarola,Yellowstone National Park,244
Ptychomitrium incurvum,Bryce National Park,100
Poa bolanderi,Bryce National Park,85
Thermopsis montana,Yosemite National Park,152
Malus pumila,Bryce National Park,94
Pedicularis canadensis,Great Smoky Mountains National Park,92
Prunus serotina,Great Smoky Mountains National Park,112
Polytrichum commune,Great Smoky Mountains National Park,59
Etheostoma chlorobranchium,Great Smoky Mountains National Park,54
Monarda didyma,Yellowstone National Park,265
Sphyrapicus varius,Yellowstone National Park,208
Parthenocissus vitacea,Yellowstone National Park,245
Chen rossii,Yellowstone National Park,254
Lobelia siphilitica,Great Smoky Mountains National Park,74
Cerastium brachypetalum,Yellowstone National Park,279
Gulo gulo,Great Smoky Mountains National Park,90
Moehringia lateriflora,Great Smoky Mountains National Park,53
Carex lucorum var. austrolucorum,Bryce National Park,108
Eriophyllum lanatum,Yellowstone National Park,279
Populus X acuminata,Yellowstone National Park,222
Spizella arborea,Great Smoky Mountains National Park,68
Populus balsamifera ssp. balsamifera,Bryce National Park,93
Percina caprodes,Yosemite National Park,178
Carex specifica,Yellowstone National Park,275
Castilleja nana,Bryce National Park,103
Ammoselinum butleri,Bryce National Park,112
Amaranthus retroflexus,Great Smoky Mountains National Park,86
Rallus limicola,Bryce National Park,98
Lobelia puberula,Yellowstone National Park,205
Epigaea repens,Yellowstone National Park,234
Eupatorium capillifolium,Bryce National Park,84
Hepatica nobilis var. obtusa,Yosemite National Park,133
Stylosanthes biflora,Bryce National Park,84
Oncorhynchus clarki behnkei,Great Smoky Mountains National Park,65
Collinsonia canadensis,Yellowstone National Park,255
Penstemon heterodoxus,Great Smoky Mountains National Park,78
Fulica americana,Great Smoky Mountains National Park,114
Maianthemum stellatum,Bryce National Park,129
